Rank,Name,G,PA,HR,AVG,wRC+,WAR,WAR_162,WAR_600
467,Brian Goodwin,355,1120,42,0.25,102,2.9,1.32,1.55
468,Ryan Sweeney,400,1287,11,0.269,94,2.9,1.17,1.35
469,Chad Pinder,366,1124,44,0.244,97,2.8,1.24,1.49
470,Franmil Reyes,290,1050,61,0.263,116,2.8,1.56,1.6
471,Eric Young Jr.,621,1865,12,0.245,75,2.7,0.7,0.87
472,J.P. Crawford,212,828,12,0.222,86,2.7,2.06,1.96
473,Eric Chavez,328,946,31,0.268,106,2.7,1.33,1.71
474,Kyle Blanks,224,761,23,0.239,102,2.7,1.95,2.13
475,Keon Broxton,376,1026,39,0.209,81,2.7,1.16,1.58
476,Adam Rosales,548,1511,44,0.229,80,2.7,0.8,1.07
477,Chris Snyder,224,777,25,0.203,80,2.7,1.95,2.08
478,Jesus Guzman,391,1094,25,0.247,101,2.6,1.08,1.43
479,Scott Schebler,380,1379,61,0.239,98,2.6,1.11,1.13
480,Brian Bogusevic,321,834,19,0.238,89,2.6,1.31,1.87
481,Victor Robles,237,889,23,0.253,90,2.6,1.78,1.75
482,Jake Cave,200,648,23,0.255,104,2.6,2.11,2.41
483,John Mayberry,535,1459,52,0.236,97,2.5,0.76,1.03
484,Alex Gonzalez,380,1472,43,0.239,80,2.5,1.07,1.02
485,Casey McGehee,725,2667,51,0.252,87,2.5,0.56,0.56
486,Bobby Abreu,474,1664,32,0.252,109,2.5,0.85,0.9
487,David Lough,342,820,13,0.254,83,2.5,1.18,1.83
488,Casper Wells,277,758,25,0.23,93,2.5,1.46,1.98
489,Jose Lobaton,406,1261,21,0.216,71,2.5,1,1.19
490,Ehire Adrianza,462,1208,16,0.243,81,2.5,0.88,1.24
491,Alexi Casilla,335,990,5,0.249,77,2.4,1.16,1.45
492,J.D. Davis,258,847,33,0.27,116,2.4,1.51,1.7
493,Kirk Nieuwenhuis,414,1116,31,0.221,92,2.4,0.94,1.29
494,Ezequiel Carrera,508,1305,19,0.262,90,2.4,0.77,1.1
495,Jeff Keppinger,468,1844,25,0.285,96,2.4,0.83,0.78
496,Maicer Izturis,401,1488,15,0.257,86,2.4,0.97,0.97
497,Daniel Robertson,245,851,16,0.233,97,2.4,1.59,1.69
498,Danny Jansen,177,610,20,0.204,76,2.3,2.11,2.26
499,Wilson Betemit,289,1060,33,0.277,115,2.3,1.29,1.3
500,Clayton Kershaw,310,711,1,0.168,12,2.3,1.2,1.94
501,Derrek Lee,261,1103,38,0.263,109,2.2,1.37,1.2
502,Jerry Hairston,413,1345,21,0.251,87,2.2,0.86,0.98
503,Jack Cust,179,695,16,0.249,121,2.2,1.99,1.9
504,Anthony Gose,372,1252,12,0.24,81,2.2,0.96,1.05
505,Austin Slater,201,625,13,0.26,101,2.1,1.69,2.02
506,Jose Tabata,509,1765,17,0.275,101,2.1,0.67,0.71
507,Bobby Wilson,367,1034,18,0.203,52,2.1,0.93,1.22
508,Devin Mesoraco,468,1574,58,0.232,94,2.1,0.73,0.8
509,A.J. Ellis,660,2290,44,0.24,97,2.1,0.52,0.55
510,Ramon Hernandez,257,931,27,0.269,98,2.1,1.32,1.35
511,Justin Maxwell,386,1064,35,0.217,89,2.1,0.88,1.18
512,J.D. Drew,220,832,26,0.244,95,2,1.47,1.44
513,Alex Dickerson,208,631,25,0.27,119,2,1.56,1.9
514,Tony Gwynn,436,1083,5,0.223,67,2,0.74,1.11
515,Albert Almora Jr.,489,1316,28,0.271,85,2,0.66,0.91
516,Jose Peraza,554,2005,29,0.27,78,2,0.58,0.6
517,Garrett Cooper,163,616,20,0.281,113,2,1.99,1.95
518,Garrett Jones,798,2786,99,0.247,103,2,0.41,0.43
519,Tyler Colvin,435,1296,49,0.24,88,2,0.74,0.93
520,Kevin Plawecki,317,1052,18,0.223,76,2,1.02,1.14
